"aka","year","site","ld","fl","hdCt","source","demo","Ax","Ly","nn1","nn2","nn3","nn4","nn5","nn6","nn7","unit"
"aa56",2001,"spp",1,1,1,"ice.csv; no demo from spp2001, demo.out records based on surv","flw",683371.012136986,191916.663458669,0.956366286080432,1.00321464138247,1.32498309058727,1.55331729044982,2.45061367654912,5.44524852925348,5.59001519677477,"west"
"aa56",2002,"spp",1,0,NA,"ice.csv; NA rosetteCt but basal","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa56",2005,"spp",1,1,1,"ice.csv; naughtyList","flw",683371.012136986,191916.663458669,0.623301406362131,3.15692859587547,5.44524852925348,5.6013581524155,5.8222074946076,6.62193653973124,7.50230737616225,"west"
"aa56",2006,"spp",1,1,3,"ice.csv; spp2006 records","flw",683371.012136986,191916.663458669,2.22823167064505,11.1462606497144,23.0946771147575,29.3560803755095,29.3985439891415,31.9439533993265,42.0558781043015,"west"
"aa56",2007,"spp",1,1,2,"ice.csv; naughtyList","flw",683371.012136986,191916.663458669,1.32498309058727,2.22823167064505,2.44833442691242,2.45061367654912,3.19591581116519,4.99749989489749,5.50450104127689,"west"
"aa56",2008,"spp",1,1,1,"autoAssign","flw",683371.012136986,191916.663458669,0.956366286080432,1.00321464138247,1.55331729044982,2.45061367654912,2.71848246971899,3.15692859587547,3.19591581116519,"west"
"aa56",2009,"spp",1,1,1,"autoAssign","flw",683371.012136986,191916.663458669,5.71320715411345,6.45940867214686,7.06725388074503,7.78315410378071,10.0335706369856,10.5153135374243,10.520888429274,"west"
"aa56",2010,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa56",2012,"spp",1,1,2,"autoAssign","flw",683371.012136986,191916.663458669,1.32498309058727,2.22823167064505,2.44833442691242,2.71848246971899,3.19591581116519,3.35239455812537,5.59001519677477,"west"
"aa56",2014,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa56",2015,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa56",2016,"spp",1,1,1,"autoAssign","flw",683371.012136986,191916.663458669,0.480470277673041,1.32498309058727,1.61539649560103,3.19591581116519,5.38097469213237,5.59001519677477,5.68131014301925,"west"
"aa72",1996,"spp",1,1,1,"ice.csv; entirely unambiguous hdCt;tag=1283","flw",683406.468186855,191921.866440469,1.20282418700152,4.51277233079659,5.06434304100417,5.16215196772071,6.82125263914753,8.1892596303444,9.81292686358226,"west"
"aa72",1998,"spp",1,1,0,"ice.csv; tbl_inflobs983;tag=1283","flw",683406.468186855,191921.866440469,40.7879771127533,43.8682878375865,51.1313340667682,55.238312046841,57.8818303534677,67.4033323802321,69.1944679689808,"west"
"aa72",2001,"spp",1,1,1,"ice.csv; no demo from spp2001, demo.out records based on surv","flw",683406.468186855,191921.866440469,3.8776265699435,3.99235942364223,8.93761977834731,9.11887730834778,10.6983090119874,11.3136981408807,15.7474171485646,"west"
"aa72",2005,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa72",2007,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa72",2016,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa82",1996,"spp",1,1,2,"ice.csv; entirely unambiguous hdCt;tag=1060","flw",683490.974402065,191919.867814861,2.48291493072368,3.34122530389039,3.38443461734871,3.53503836992837,3.56344636700968,3.9506574305284,4.84607528366461,"west"
"aa82",1999,"spp",1,1,1,"ice.csv; spp1999 records","flw",683490.974402065,191919.867814861,5.74591654357152,7.04198731113082,7.68279790553298,8.81448134189938,9.3887861973266,9.96634107174303,10.6161142746541,"west"
"aa82",2001,"spp",1,1,2,"ice.csv; no demo from spp2001, demo.out records based on surv","flw",683490.974402065,191919.867814861,1.85042109326021,2.02429459104746,2.09431344371578,3.38443461734871,3.56344636700968,3.9506574305284,4.07979102661181,"west"
"aa82",2005,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa82",2007,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa82",2010,"spp",1,1,1,"autoAssign","flw",683490.974402065,191919.867814861,0.671251170800205,1.03620794660167,1.74884450957248,3.19328138241172,3.80863413151808,3.9506574305284,4.12942212772666,"west"
"aa82",2014,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"aa82",2016,"spp",1,1,0,"ice.csv; discrepancy between demo and surv; autoassigned using demo head counts","flw",683490.974402065,191919.867814861,0.715957893636892,1.03620794660167,3.19328138241172,3.30717485578791,3.3217199689919,3.80863413151808,3.82075792332512,"west"
"aa88",2012,"spp",1,1,1,"autoAssign","flw",683770.758,191920.7145,5.5086027911576,5.90901114726052,44.6896692414279,47.23907651347,48.0628562095776,54.6748289127874,55.1796493177483,"east"
"aa88",2014,"spp",1,1,2,"ice.csv; discrepancy between demo and surv; 2 hds in phen","flw",683770.758,191920.7145,4.26209387931973,5.5086027911576,5.88301473990489,5.90901114726052,13.7598205182,15.6865992569478,16.174344233724,"east"
"aa88",2015,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"aa88",2016,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"ab19",1996,"spp",1,1,0,"ice.csv; tbl_inflobs961 & paper;tag=1159","flw",683374.774667548,191915.8914791,0.345028984317085,1.05038135925844,1.70025321646305,3.84090987734188,9.24402069202682,9.71646543159941,10.1493531321112,"west"
"ab19",2005,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ab19",2007,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ab19",2016,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ab47",2010,"spp",1,1,2,"autoAssign","flw",683708.715,191897.571,3.70092349435192,4.55655623404809,5.46888986694373,6.10395214938212,9.33226691636255,9.42839573990331,9.44054019756241,"east"
"ab47",2014,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"ab47",2016,"spp",1,1,7,"autoAssign","flw",683708.715,191897.571,0.765052866750526,3.32447702438604,3.4586008730843,3.70092349435192,3.74687934568149,3.95725512490558,4.30238643073398,"east"
"ab81",2000,"spp",1,1,1,"ice.csv; spp2000 records from surv","flw",683442.974135864,191916.078143256,3.50853799157571,4.94291721689552,5.27265255045827,11.4308925877034,12.7019428230905,12.9012442631891,13.7433805907607,"west"
"ab81",2001,"spp",1,1,4,"ice.csv; no demo from spp2001, demo.out records based on surv","flw",683442.974135864,191916.078143256,2.52438345029587,3.2106939880824,5.27265255045827,7.93583106737567,9.52124439369351,10.0502387097369,10.4693601378914,"west"
"ab81",2004,"spp",1,1,1,"ice.csv; discrepancy between demo and surv","flw",683442.974135864,191916.078143256,5.97054475282244,8.65948942227999,10.7313453674649,12.4467260744663,16.027109431072,16.6871213630275,20.1299421397699,"west"
"ab81",2005,"spp",1,1,0,"autoAssign","flw",683442.974135864,191916.078143256,3.2106939880824,8.65948942227999,12.0221692865213,13.7433805907607,15.6997088407307,15.9632377578403,16.1981087045658,"west"
"ab81",2007,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ab81",2016,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ac08",1996,"spp",1,1,1,"ice.csv; prob duplicate record;tag=232","flw",683544.665009254,191905.107149277,0.627405181362392,1.35706003975293,3.20106454582353,4.51905857825899,4.83752368629894,5.04080870654563,7.06156968665412,"west"
"ac08",1999,"spp",1,1,1,"ice.csv; spp1999 records","flw",683544.665009254,191905.107149277,0.599826624078079,1.35706003975293,8.58904602163175,14.08148682745,18.5728228695053,19.8427867078638,22.130934403134,"west"
"ac08",2005,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ac08",2007,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ac08",2016,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ac73",2006,"spp",1,1,1,"ice.csv; spp2006 records","flw",683720.540176465,191897.125660755,1.77652776090113,2.60748312300226,2.76511620385793,4.65277732087227,6.75240474306565,7.55129343095144,8.95500034858441,"east"
"ac73",2007,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"ac73",2008,"spp",1,1,2,"autoAssign","flw",683720.540176465,191897.125660755,1.16565464020312,1.66400960102117,2.94073388857838,3.62549372958514,4.65277732087227,6.65294658477014,6.75240474306565,"east"
"ac73",2009,"spp",1,1,2,"autoAssign","flw",683720.540176465,191897.125660755,1.16565464020312,1.66400960102117,1.77652776090113,2.76511620385793,2.94073388857838,3.39929458299075,3.62549372958514,"east"
"ac73",2013,"spp",1,1,2,"autoAssign","flw",683720.540176465,191897.125660755,6.65294658477014,8.91060179224918,11.6849257391233,13.0812559328066,20.7958086412074,67.2095835668206,67.7088361211984,"east"
"ac73",2014,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"ac73",2015,"spp",1,1,1,"autoAssign","flw",683720.540176465,191897.125660755,1.77652776090113,2.12710988859089,2.75396099566395,2.94073388857838,3.28117356603411,3.648567476049,4.65277732087227,"east"
"ac73",2016,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"east"
"ac95",2004,"spp",1,1,1,"autoAssign","flw",683405.015208801,191916.723624471,18.6847794630909,21.1687813459946,22.9726292304561,23.2641292884863,28.9662598436049,32.8092410067206,35.4234462842589,"west"
"ac95",2005,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
