row,pos,cg_pla_id,exp_nm,site_of_origin_pedigree,measure_yr,measure_dt,pla_status_desc,basal_rosette_ct,flowering_rosette_ct,basal_lf_ct,longest_basal_lf,longest_cauline_lf,hdct,min_hd_height,max_hd_height,wrinkled_lvs_pres,insects,ant1,ant2to10,ant_gt10,aphid1,aphid2to10,aphid11to80,aphid_gt80,lf_miner,lf_rolled,ant_nest,lf_hopper,pupa,egg_sac,beetle,grasshopper,spittle,wht_fuzzy,wht_scary,other_note,insects_note,yr_planted,ld,fl,hd_ct,ach_ct
24,957,51,1996,SPP,2004,2004-08-09,flowering,NA,NA,0,0,NA,1,57,57,0,11-80 aphids;2-10 ants,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
24,956,52,1996,Unknown,2004,2004-08-09,flowering,NA,NA,2,0,NA,2,17,55,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
24,955,53,1996,AA,2004,2004-08-09,flowering,NA,NA,9,30,NA,3,72,80,0,11-80 aphids;flea beetle,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1996,1,1,3,3
24,954,54,1996,Eriley,2004,2004-08-09,flowering,NA,NA,7,22,NA,3,43,52,0,1 aphid,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
24,952,56,1996,Eriley,2004,2004-08-09,flowering,NA,NA,15,41,NA,1,44,44,0,11-80 aphids;other (Note),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Insect hatched on leaf,1996,1,1,1,1
24,950,58,1996,Eriley,2004,2004-08-09,flowering,NA,NA,13,40,NA,1,70,70,0,>80 aphids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
24,949,59,1996,SPP,2004,2004-08-09,fl based on dud & vd (includeForHdCt=0),NA,NA,21,34,NA,0,9,9,1,11-80 aphids;ant nest,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1996,1,1,0,0
24,947,61,1996,Eriley,2004,2004-08-09,flowering,NA,NA,14,25,NA,1,48,48,1,11-80 aphids;other (Note),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1 brown lump,1996,1,1,1,1
24,946,62,1996,Eriley,2004,2004-08-09,flowering,NA,NA,14,34,NA,1,38,38,1,11-80 aphids;ant nest,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
24,945,63,1996,Lf,2004,2004-08-09,flowering,NA,NA,0,0,NA,1,49,49,0,>80 aphids;1 ant,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
24,942,66,1996,Nessman,2004,2004-08-09,flowering,NA,NA,5,24,NA,1,51,51,0,>80 aphids;1 ant,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
24,941,67,1996,SPP,2004,2004-08-09,flowering,NA,NA,8,18,NA,4,46,63,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,4,4
28,958,77,1996,Eriley,2004,2004-08-09,flowering,NA,NA,10,28,NA,2,24,45,1,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
28,957,78,1996,Eriley,2004,2004-08-09,fl based on dud & vd (includeForHdCt=0),NA,NA,6,23,NA,0,7,7,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,0,0
28,956,79,1996,SPP,2004,2004-08-09,flowering,NA,NA,8,18,NA,3,62,66,1,>80 aphids;2-10 ants;ant nest,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,1996,1,1,3,3
28,954,81,1996,AA,2004,2004-08-09,fl based on dud & vd (includeForHdCt=0),NA,NA,4,21,NA,0,12,12,0,>80 aphids;2-10 ants,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,0,0
28,952,83,1996,Lf,2004,2004-08-09,flowering,NA,NA,0,0,NA,2,50,55,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
28,951,84,1996,Eriley,2004,2004-08-09,flowering,NA,NA,7,28,NA,1,65,65,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
28,949,86,1996,SPP,2004,2004-08-09,flowering,NA,NA,1,0,NA,3,53,62,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1 wht fuzz bell,1996,1,1,3,3
28,947,88,1996,Eriley,2004,2004-08-09,flowering,NA,NA,6,28,NA,1,39,39,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,0,0
28,943,92,1996,Lf,2004,2004-08-09,fl based on dud & vd (includeForHdCt=0),NA,NA,7,32,NA,0,18,18,1,>80 aphids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,0,0
33,959,101,1996,SPP,2004,2004-08-09,flowering,NA,NA,3,24,NA,1,61,61,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,1,1
33,958,102,1996,SPP,2004,2004-08-09,flowering,NA,NA,22,33,NA,2,23,32,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
33,957,103,1996,Nessman,2004,2004-08-09,flowering,NA,NA,0,0,NA,1,55,55,0,11-80 aphids;2-10 ants;other (Note),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Pupa case,1996,1,1,1,1
33,953,107,1996,AA,2004,2004-08-08,flowering,NA,NA,0,0,NA,2,42,62,0,11-80 aphids,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1996,1,1,2,2
